5p+ Fv/m Test,,,,,,,,,,,,,,,
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
1, 7/ 7,18:42,50,R,12,75,0.8,On ,50,5,129,307,178,0.579,1.379
Curve:,,,,,,,,,,,,,,,
,124,,,,,,,,,,,,,,
,126,,,,,,,,,,,,,,
,127,,,,,,,,,,,,,,
,127,,,,,,,,,,,,,,
,130,,,,,,,,,,,,,,
,134,,,,,,,,,,,,,,
,132,,,,,,,,,,,,,,
,128,,,,,,,,,,,,,,
,131,,,,,,,,,,,,,,
,128,,,,,,,,,,,,,,
,174,,,,,,,,,,,,,,
,276,,,,,,,,,,,,,,
,299,,,,,,,,,,,,,,
,310,,,,,,,,,,,,,,
,306,,,,,,,,,,,,,,
,310,,,,,,,,,,,,,,
,310,,,,,,,,,,,,,,
,301,,,,,,,,,,,,,,
,309,,,,,,,,,,,,,,
,310,,,,,,,,,,,,,,
,302,,,,,,,,,,,,,,
,291,,,,,,,,,,,,,,
,267,,,,,,,,,,,,,,
,225,,,,,,,,,,,,,,
,170,,,,,,,,,,,,,,
,153,,,,,,,,,,,,,,
,142,,,,,,,,,,,,,,
,134,,,,,,,,,,,,,,
,129,,,,,,,,,,,,,,
,124,,,,,,,,,,,,,,
,122,,,,,,,,,,,,,,
,123,,,,,,,,,,,,,,
,123,,,,,,,,,,,,,,
,125,,,,,,,,,,,,,,
,127,,,,,,,,,,,,,,
,126,,,,,,,,,,,,,,
,128,,,,,,,,,,,,,,
,127,,,,,,,,,,,,,,
5p+ Fv/m Test,,,,,,,,,,,,,,,
Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o
1, 7/ 7,19:09,50,R,12,75,0.8,On ,50,5,168,443,275,0.62,1.636
Curve:,,,,,,,,,,,,,,,
,166,,,,,,,,,,,,,,
,168,,,,,,,,,,,,,,
,167,,,,,,,,,,,,,,
,166,,,,,,,,,,,,,,
,168,,,,,,,,,,,,,,
,168,,,,,,,,,,,,,,
,170,,,,,,,,,,,,,,
,172,,,,,,,,,,,,,,
,173,,,,,,,,,,,,,,
,172,,,,,,,,,,,,,,
,245,,,,,,,,,,,,,,
,426,,,,,,,,,,,,,,
